# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.036e-06 3.712e-06 3.251e-06 1.330e-07
      13 3.026e-06 3.857e-06 3.296e-06 1.610e-07
      16 3.482e-06 4.500e-06 3.874e-06 2.053e-07
      20 2.941e-06 5.388e-06 4.131e-06 7.628e-07
      25 2.707e-06 4.336e-06 3.254e-06 4.424e-07
      32 2.894e-06 4.173e-06 3.318e-06 2.368e-07
      40 3.134e-06 4.089e-06 3.665e-06 2.270e-07
      50 3.913e-06 5.067e-06 4.398e-06 2.470e-07
      63 5.607e-06 7.922e-06 6.453e-06 6.511e-07
      79 8.112e-06 1.016e-05 8.836e-06 3.808e-07
     100 1.189e-05 1.415e-05 1.300e-05 5.290e-07
     126 1.795e-05 2.553e-05 2.068e-05 2.149e-06
     158 2.560e-05 3.014e-05 2.771e-05 1.023e-06
     200 3.561e-05 4.157e-05 3.857e-05 1.419e-06
     251 5.134e-05 5.681e-05 5.389e-05 1.294e-06
     316 7.704e-05 8.629e-05 8.040e-05 2.159e-06
     398 1.143e-04 1.230e-04 1.180e-04 1.879e-06
     501 1.717e-04 1.821e-04 1.766e-04 2.397e-06
     631 2.611e-04 2.730e-04 2.671e-04 2.911e-06
     794 4.011e-04 4.562e-04 4.231e-04 1.709e-05
    1000 6.198e-04 7.213e-04 6.538e-04 2.955e-05
    1259 9.602e-04 1.044e-03 9.797e-04 1.501e-05
    1585 1.517e-03 1.961e-03 1.617e-03 1.142e-04
    1995 2.423e-03 2.920e-03 2.553e-03 1.299e-04
    2512 3.972e-03 5.515e-03 4.356e-03 3.467e-04
    3162 6.765e-03 1.244e-02 8.623e-03 1.402e-03
    3981 1.162e-02 1.318e-02 1.194e-02 2.601e-04
    5012 2.073e-02 2.287e-02 2.124e-02 4.158e-04
    6310 3.687e-02 6.311e-02 4.287e-02 8.077e-03
    7943 6.531e-02 1.106e-01 7.211e-02 1.216e-02
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.540e-07 1.950e-06 8.776e-07 2.832e-07
      13 7.320e-07 1.225e-06 8.350e-07 8.763e-08
      16 8.520e-07 1.043e-06 9.335e-07 4.208e-08
      20 9.860e-07 1.226e-06 1.093e-06 5.506e-08
      25 1.183e-06 1.478e-06 1.327e-06 6.958e-08
      32 1.598e-06 2.061e-06 1.799e-06 1.048e-07
      40 2.148e-06 2.720e-06 2.439e-06 1.355e-07
      50 2.919e-06 3.653e-06 3.284e-06 1.674e-07
      63 4.168e-06 5.632e-06 4.720e-06 2.803e-07
      79 6.150e-06 7.379e-06 6.735e-06 2.936e-07
     100 9.380e-06 1.324e-05 1.067e-05 8.636e-07
     126 1.452e-05 1.774e-05 1.594e-05 7.209e-07
     158 2.156e-05 2.707e-05 2.390e-05 1.218e-06
     200 3.163e-05 4.164e-05 3.520e-05 2.259e-06
     251 4.839e-05 6.129e-05 5.373e-05 2.821e-06
     316 7.159e-05 8.802e-05 7.678e-05 3.379e-06
     398 1.080e-04 1.225e-04 1.134e-04 2.854e-06
     501 1.644e-04 1.825e-04 1.718e-04 3.872e-06
     631 2.520e-04 2.851e-04 2.634e-04 6.749e-06
     794 3.881e-04 4.319e-04 4.031e-04 8.328e-06
    1000 6.049e-04 6.720e-04 6.276e-04 1.444e-05
    1259 9.486e-04 1.052e-03 9.816e-04 2.066e-05
    1585 1.514e-03 1.658e-03 1.563e-03 3.210e-05
    1995 2.455e-03 2.825e-03 2.560e-03 8.036e-05
    2512 4.071e-03 4.575e-03 4.218e-03 1.027e-04
    3162 6.854e-03 7.485e-03 7.090e-03 1.549e-04
    3981 1.163e-02 1.262e-02 1.203e-02 2.508e-04
    5012 1.969e-02 2.118e-02 2.028e-02 3.385e-04
    6310 3.314e-02 3.660e-02 3.417e-02 6.269e-04
    7943 5.529e-02 5.785e-02 5.626e-02 5.511e-04
   10000 8.980e-02 1.336e-01 9.438e-02 7.159e-03
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.660e-07 1.652e-06 1.094e-06 1.519e-07
      13 8.970e-07 1.364e-06 9.822e-07 9.867e-08
      16 9.500e-07 1.484e-06 1.041e-06 1.098e-07
      20 1.028e-06 2.042e-06 1.189e-06 1.857e-07
      25 1.163e-06 3.652e-06 1.756e-06 5.068e-07
      32 1.296e-06 2.492e-06 1.569e-06 2.801e-07
      40 1.500e-06 2.381e-06 1.815e-06 2.699e-07
      50 1.788e-06 2.828e-06 2.128e-06 3.369e-07
      63 2.276e-06 4.220e-06 2.990e-06 5.236e-07
      79 2.889e-06 5.591e-06 3.574e-06 7.006e-07
     100 3.906e-06 6.491e-06 4.493e-06 5.705e-07
     126 5.330e-06 8.600e-06 5.812e-06 4.607e-07
     158 7.596e-06 1.307e-05 8.776e-06 1.377e-06
     200 1.113e-05 1.989e-05 1.287e-05 2.080e-06
     251 1.654e-05 2.899e-05 1.890e-05 2.817e-06
     316 2.567e-05 4.655e-05 3.020e-05 5.631e-06
     398 3.784e-05 6.816e-05 4.327e-05 6.961e-06
     501 5.756e-05 9.996e-05 6.501e-05 9.184e-06
     631 6.845e-05 1.093e-04 8.122e-05 1.008e-05
     794 1.252e-04 2.329e-04 1.611e-04 2.563e-05
    1000 1.683e-04 2.299e-04 1.832e-04 1.194e-05
    1259 2.785e-04 5.741e-04 3.748e-04 5.219e-05
    1585 4.066e-04 7.077e-04 5.057e-04 7.845e-05
    1995 7.160e-04 1.255e-03 9.112e-04 9.324e-05
    2512 1.076e-03 2.080e-03 1.432e-03 2.203e-04
    3162 1.674e-03 3.931e-03 2.275e-03 5.539e-04
    3981 2.380e-03 3.726e-03 2.762e-03 2.632e-04
    5012 3.703e-03 4.356e-03 3.878e-03 1.512e-04
    6310 5.884e-03 6.893e-03 6.158e-03 2.341e-04
    7943 9.321e-03 1.094e-02 9.825e-03 4.033e-04
